;;;;;;;;
;;;;;;;;
;;;;;;;;
Name;D65_White;D65_Blue;D65_Skin;D65_Yellow;D50_White;D50_Blue;D50_Skin;D50_Yellow
Correction;UV;UV;UV;UV;UV;UV;UV;UV
Date;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025
873;2,05773E-02;9,76287E-03;1,41548E-02;1,75236E-02;9,71722E-03;3,75076E-03;5,31165E-03;6,50713E-03
874;2,02805E-02;9,64125E-03;1,39825E-02;1,70360E-02;1,01132E-02;3,74328E-03;5,21755E-03;6,45711E-03
875;1,98059E-02;9,98806E-03;1,38476E-02;1,65710E-02;9,48183E-03;3,72603E-03;5,42100E-03;6,39590E-03
876;2,02965E-02;9,60543E-03;1,38730E-02;1,62701E-02;9,66635E-03;3,83324E-03;5,31057E-03;6,50749E-03
877;2,04286E-02;9,88970E-03;1,41588E-02;1,67371E-02;9,99157E-03;3,83511E-03;5,54934E-03;6,45644E-03
878;2,03770E-02;9,69169E-03;1,42152E-02;1,63983E-02;9,97726E-03;3,95831E-03;5,43500E-03;6,47957E-03
879;2,09829E-02;1,00636E-02;1,44088E-02;1,63891E-02;1,01864E-02;4,00802E-03;5,63512E-03;6,77404E-03
880;2,11566E-02;1,02451E-02;1,44323E-02;1,69286E-02;9,93128E-03;4,06487E-03;5,78668E-03;6,83314E-03
881;2,20404E-02;1,04569E-02;1,47360E-02;1,75313E-02;1,06771E-02;4,13411E-03;5,86680E-03;6,98573E-03
882;2,22305E-02;1,07997E-02;1,50136E-02;1,76701E-02;1,06067E-02;4,22529E-03;6,07698E-03;7,35349E-03
883;2,26738E-02;1,09706E-02;1,54622E-02;1,81295E-02;1,13658E-02;4,37993E-03;6,27373E-03;7,47235E-03
884;2,32935E-02;1,11925E-02;1,60013E-02;1,82907E-02;1,12333E-02;4,52176E-03;6,42461E-03;7,70099E-03
885;2,38160E-02;1,16141E-02;1,58193E-02;1,84009E-02;1,15111E-02;4,65307E-03;6,47724E-03;7,72530E-03
886;2,46215E-02;1,18359E-02;1,67816E-02;1,87232E-02;1,19731E-02;4,74601E-03;6,75420E-03;8,39108E-03
887;2,56306E-02;1,21150E-02;1,66352E-02;1,93786E-02;1,19465E-02;4,88338E-03;7,06436E-03;8,07528E-03
888;2,56093E-02;1,24861E-02;1,76707E-02;2,04965E-02;1,22313E-02;5,16727E-03;7,17244E-03;8,72805E-03
889;2,73500E-02;1,29975E-02;1,81322E-02;2,10275E-02;1,25243E-02;5,31485E-03;7,49107E-03;8,83915E-03
890;2,77721E-02;1,35941E-02;1,86301E-02;2,19276E-02;1,35694E-02;5,53061E-03;7,75905E-03;9,20526E-03
891;2,93343E-02;1,41778E-02;1,96644E-02;2,24398E-02;1,43663E-02;5,73806E-03;8,21516E-03;9,47751E-03
892;3,07830E-02;1,46998E-02;2,00621E-02;2,35272E-02;1,43945E-02;5,96477E-03;8,55801E-03;1,02021E-02
893;3,19714E-02;1,53913E-02;2,10241E-02;2,44404E-02;1,50946E-02;6,41392E-03;8,94679E-03;1,06597E-02
894;3,28554E-02;1,64427E-02;2,19705E-02;2,52636E-02;1,55869E-02;6,60331E-03;9,45413E-03;1,10509E-02
895;3,41375E-02;1,70918E-02;2,30720E-02;2,62816E-02;1,63338E-02;7,01765E-03;9,89201E-03;1,16754E-02
896;3,60874E-02;1,75100E-02;2,39071E-02;2,70042E-02;1,72494E-02;7,29986E-03;1,02971E-02;1,21648E-02
897;3,85188E-02;1,85251E-02;2,51254E-02;2,85184E-02;1,79019E-02;7,67243E-03;1,08315E-02;1,28490E-02
898;4,03874E-02;1,94532E-02;2,63980E-02;2,98279E-02;1,85062E-02;8,09886E-03;1,14164E-02;1,32955E-02
899;4,14851E-02;2,05420E-02;2,77650E-02;3,16579E-02;1,96758E-02;8,50047E-03;1,20273E-02;1,43611E-02
900;4,39170E-02;2,15065E-02;2,90336E-02;3,25207E-02;2,13457E-02;9,07583E-03;1,26315E-02;1,50106E-02
901;4,61449E-02;2,24197E-02;3,06144E-02;3,48079E-02;2,19241E-02;9,58931E-03;1,36850E-02;1,64577E-02
902;4,83562E-02;2,39534E-02;3,19143E-02;3,60716E-02;2,34601E-02;1,00869E-02;1,41383E-02;1,69753E-02
903;4,99528E-02;2,50290E-02;3,36286E-02;3,81997E-02;2,44573E-02;1,06384E-02;1,48045E-02;1,79118E-02
904;5,28919E-02;2,60371E-02;3,46438E-02;3,94790E-02;2,55850E-02;1,10240E-02;1,54703E-02;1,83863E-02
905;5,54730E-02;2,73455E-02;3,66542E-02;4,16719E-02;2,69579E-02;1,17973E-02;1,64645E-02;1,96369E-02
906;5,77726E-02;2,86892E-02;3,84394E-02;4,23637E-02;2,81279E-02;1,22675E-02;1,72139E-02;2,05530E-02
907;6,01847E-02;2,97099E-02;3,96292E-02;4,59380E-02;2,97715E-02;1,27303E-02;1,78994E-02;2,09265E-02
908;6,14656E-02;3,02248E-02;4,15502E-02;4,65533E-02;3,03805E-02;1,32793E-02;1,81296E-02;2,15841E-02
909;6,26029E-02;3,13376E-02;4,25878E-02;4,91566E-02;3,19877E-02;1,34750E-02;1,87559E-02;2,22096E-02
910;6,42983E-02;3,19884E-02;4,37042E-02;4,93995E-02;3,31725E-02;1,36757E-02;1,88720E-02;2,24970E-02
911;6,32807E-02;3,17883E-02;4,44819E-02;5,02477E-02;3,28160E-02;1,36848E-02;1,88955E-02;2,21721E-02
912;6,44330E-02;3,21801E-02;4,38333E-02;5,09307E-02;3,33887E-02;1,35325E-02;1,84470E-02;2,19550E-02
913;6,25539E-02;3,19781E-02;4,41836E-02;5,06478E-02;3,21182E-02;1,31613E-02;1,80236E-02;2,12996E-02
914;6,09559E-02;3,08214E-02;4,34945E-02;5,01451E-02;3,20616E-02;1,28622E-02;1,74029E-02;2,05410E-02
915;5,84847E-02;3,03355E-02;4,24425E-02;4,94906E-02;3,07094E-02;1,23337E-02;1,67938E-02;1,96954E-02
916;5,69531E-02;2,91233E-02;4,13593E-02;4,79561E-02;3,03111E-02;1,17842E-02;1,60471E-02;1,89499E-02
917;5,55605E-02;2,84556E-02;4,05809E-02;4,76290E-02;2,92602E-02;1,12590E-02;1,54159E-02;1,81299E-02
918;5,43720E-02;2,74462E-02;3,87549E-02;4,48133E-02;2,71038E-02;1,08277E-02;1,45248E-02;1,74274E-02
919;5,16290E-02;2,62400E-02;3,80734E-02;4,44503E-02;2,65815E-02;1,04854E-02;1,39968E-02;1,66174E-02
920;4,96799E-02;2,54169E-02;3,62141E-02;4,16529E-02;2,62035E-02;1,00645E-02;1,35870E-02;1,62426E-02
921;4,80270E-02;2,41693E-02;3,48171E-02;4,04181E-02;2,45304E-02;9,76172E-03;1,31653E-02;1,57398E-02
922;4,81182E-02;2,38490E-02;3,44542E-02;3,94573E-02;2,40993E-02;9,50702E-03;1,30196E-02;1,55525E-02
923;4,61104E-02;2,34079E-02;3,26042E-02;3,77853E-02;2,36948E-02;9,35947E-03;1,27295E-02;1,48916E-02
924;4,60617E-02;2,32163E-02;3,28571E-02;3,74126E-02;2,23611E-02;9,22968E-03;1,26398E-02;1,48748E-02
925;4,48533E-02;2,26226E-02;3,14253E-02;3,65999E-02;2,20667E-02;9,30988E-03;1,24733E-02;1,44663E-02
926;4,56584E-02;2,30443E-02;3,20290E-02;3,69351E-02;2,24224E-02;9,26880E-03;1,30041E-02;1,49361E-02
927;4,62614E-02;2,32821E-02;3,15427E-02;3,59197E-02;2,29235E-02;9,49442E-03;1,30270E-02;1,48687E-02
928;4,66078E-02;2,35687E-02;3,20568E-02;3,61823E-02;2,30460E-02;9,76294E-03;1,31823E-02;1,52646E-02
929;4,68573E-02;2,35475E-02;3,28322E-02;3,68675E-02;2,29720E-02;9,71780E-03;1,36819E-02;1,58245E-02
930;4,82674E-02;2,45294E-02;3,27411E-02;3,73262E-02;2,36272E-02;9,99883E-03;1,40646E-02;1,61366E-02
931;4,93885E-02;2,45620E-02;3,35110E-02;3,75234E-02;2,37688E-02;1,03844E-02;1,42084E-02;1,66122E-02
932;4,97442E-02;2,53003E-02;3,45828E-02;3,86088E-02;2,45571E-02;1,06768E-02;1,46486E-02;1,70110E-02
933;5,13688E-02;2,57446E-02;3,47383E-02;3,92152E-02;2,44455E-02;1,09718E-02;1,50383E-02;1,79425E-02
934;5,35621E-02;2,66842E-02;3,56944E-02;3,99696E-02;2,62271E-02;1,13549E-02;1,57423E-02;1,82925E-02
935;5,55518E-02;2,75519E-02;3,73555E-02;4,09139E-02;2,68866E-02;1,17475E-02;1,62056E-02;1,88983E-02
936;5,56079E-02;2,84927E-02;3,79211E-02;4,33802E-02;2,86831E-02;1,23055E-02;1,68751E-02;1,97313E-02
937;5,74693E-02;2,96014E-02;3,89767E-02;4,24781E-02;2,83732E-02;1,25642E-02;1,72443E-02;2,00101E-02
938;5,90784E-02;3,03109E-02;4,01677E-02;4,49068E-02;2,95301E-02;1,30617E-02;1,80528E-02;2,09612E-02
939;6,11154E-02;3,05395E-02;4,11426E-02;4,51395E-02;3,08446E-02;1,32983E-02;1,83744E-02;2,14901E-02
940;6,29249E-02;3,15611E-02;4,16078E-02;4,61840E-02;3,13092E-02;1,39650E-02;1,86648E-02;2,20584E-02
941;6,33111E-02;3,19538E-02;4,28675E-02;4,80001E-02;3,18428E-02;1,40187E-02;1,90700E-02;2,26424E-02
942;6,55325E-02;3,27126E-02;4,38799E-02;4,86907E-02;3,27259E-02;1,41892E-02;1,96551E-02;2,28283E-02
943;6,41923E-02;3,30401E-02;4,39379E-02;4,91121E-02;3,20649E-02;1,45953E-02;1,96447E-02;2,28987E-02
944;6,51474E-02;3,27234E-02;4,45220E-02;4,99667E-02;3,38159E-02;1,42783E-02;1,96707E-02;2,30117E-02
945;6,45010E-02;3,26344E-02;4,46457E-02;4,97785E-02;3,35523E-02;1,44957E-02;1,93633E-02;2,30923E-02
946;6,40814E-02;3,24835E-02;4,52076E-02;5,12028E-02;3,37848E-02;1,45307E-02;1,95108E-02;2,29828E-02
947;6,34644E-02;3,20482E-02;4,39259E-02;4,88129E-02;3,32583E-02;1,42232E-02;1,91889E-02;2,26595E-02
948;6,17473E-02;3,16168E-02;4,36923E-02;4,93011E-02;3,20464E-02;1,39785E-02;1,86882E-02;2,21242E-02
949;5,98672E-02;3,12614E-02;4,28425E-02;4,89602E-02;3,26725E-02;1,34982E-02;1,80251E-02;2,15187E-02
950;5,92514E-02;3,08458E-02;4,24601E-02;4,78777E-02;3,15131E-02;1,32169E-02;1,74878E-02;2,07345E-02
951;5,54885E-02;2,94053E-02;4,05143E-02;4,68899E-02;3,05945E-02;1,27679E-02;1,67707E-02;1,99774E-02
952;5,54128E-02;2,85523E-02;3,88465E-02;4,47180E-02;3,05297E-02;1,22072E-02;1,59556E-02;1,90638E-02
953;5,20319E-02;2,73307E-02;3,74845E-02;4,32308E-02;2,81665E-02;1,14222E-02;1,48652E-02;1,80692E-02
954;4,99928E-02;2,62281E-02;3,56674E-02;4,25140E-02;2,77838E-02;1,11516E-02;1,44029E-02;1,74572E-02
955;4,70452E-02;2,50767E-02;3,47459E-02;4,06472E-02;2,65597E-02;1,04682E-02;1,33928E-02;1,64163E-02
956;4,55674E-02;2,33747E-02;3,28384E-02;3,95448E-02;2,45259E-02;1,00370E-02;1,29158E-02;1,55598E-02
957;4,30225E-02;2,30774E-02;3,20838E-02;3,76574E-02;2,29839E-02;9,56378E-03;1,21933E-02;1,53315E-02
958;4,12044E-02;2,17010E-02;3,01076E-02;3,63860E-02;2,20626E-02;9,04776E-03;1,18171E-02;1,43891E-02
959;4,03100E-02;2,09353E-02;2,86767E-02;3,46268E-02;2,17806E-02;8,77620E-03;1,12901E-02;1,37864E-02
960;3,81908E-02;2,00683E-02;2,71504E-02;3,39544E-02;1,99806E-02;8,37636E-03;1,06741E-02;1,28093E-02
961;3,73314E-02;1,95419E-02;2,66470E-02;3,16838E-02;2,01820E-02;8,26246E-03;1,04884E-02;1,29954E-02
962;3,61602E-02;1,87556E-02;2,55754E-02;3,09987E-02;1,85063E-02;7,91492E-03;9,93682E-03;1,25596E-02
963;3,58475E-02;1,88353E-02;2,40319E-02;3,04095E-02;1,87438E-02;7,63919E-03;9,83053E-03;1,23807E-02
964;3,37090E-02;1,81928E-02;2,40465E-02;3,05013E-02;1,73912E-02;7,48563E-03;9,57701E-03;1,23223E-02
965;3,48251E-02;1,81078E-02;2,28019E-02;2,92041E-02;1,78603E-02;7,62880E-03;9,39697E-03;1,18080E-02
966;3,35581E-02;1,80043E-02;2,35770E-02;2,88306E-02;1,78753E-02;7,59438E-03;9,19636E-03;1,22048E-02
967;3,31527E-02;1,80405E-02;2,20651E-02;2,89342E-02;1,68713E-02;7,49763E-03;9,38676E-03;1,17157E-02
968;3,32217E-02;1,75855E-02;2,25689E-02;2,88413E-02;1,69556E-02;7,38847E-03;9,40701E-03;1,22101E-02
969;3,39820E-02;1,75795E-02;2,22432E-02;2,88496E-02;1,68331E-02;7,59140E-03;9,19712E-03;1,21858E-02
970;3,33816E-02;1,78123E-02;2,18349E-02;2,89598E-02;1,67625E-02;7,49501E-03;9,57122E-03;1,26262E-02
971;3,42165E-02;1,80084E-02;2,20214E-02;2,93422E-02;1,72463E-02;7,72588E-03;9,54767E-03;1,28082E-02
972;3,51058E-02;1,85830E-02;2,23681E-02;2,94220E-02;1,72055E-02;7,93738E-03;9,67944E-03;1,27654E-02
973;3,47892E-02;1,87231E-02;2,24687E-02;2,89231E-02;1,80785E-02;8,06994E-03;9,86566E-03;1,32775E-02
974;3,43149E-02;1,92838E-02;2,26852E-02;3,01537E-02;1,67637E-02;8,03209E-03;1,01184E-02;1,36145E-02
975;3,52656E-02;1,91719E-02;2,36461E-02;2,99280E-02;1,79121E-02;8,49544E-03;1,02891E-02;1,39743E-02
976;3,54256E-02;1,98938E-02;2,36839E-02;2,99593E-02;1,82545E-02;8,40357E-03;1,04673E-02;1,38345E-02
977;3,69914E-02;1,95841E-02;2,34955E-02;3,10920E-02;1,88928E-02;8,66432E-03;1,05310E-02;1,41866E-02
978;3,77685E-02;2,02937E-02;2,44992E-02;3,18258E-02;1,90791E-02;8,92628E-03;1,11686E-02;1,47874E-02
979;3,95127E-02;2,06242E-02;2,44867E-02;3,19226E-02;1,91455E-02;9,07769E-03;1,10954E-02;1,48330E-02
980;3,91354E-02;2,12104E-02;2,48318E-02;3,27863E-02;1,98979E-02;9,32204E-03;1,14095E-02;1,56784E-02
981;4,01063E-02;2,13812E-02;2,49682E-02;3,39044E-02;1,99887E-02;9,56698E-03;1,18227E-02;1,59305E-02
982;3,92771E-02;2,13758E-02;2,60509E-02;3,43826E-02;2,13199E-02;9,65036E-03;1,20270E-02;1,58510E-02
983;4,11295E-02;2,19927E-02;2,62773E-02;3,42713E-02;2,08983E-02;9,87044E-03;1,18102E-02;1,62159E-02
984;4,15186E-02;2,19582E-02;2,65685E-02;3,50218E-02;2,08363E-02;1,00264E-02;1,23228E-02;1,63074E-02
985;4,24534E-02;2,24289E-02;2,67951E-02;3,48613E-02;2,15867E-02;1,01251E-02;1,24541E-02;1,69374E-02
986;4,20310E-02;2,25170E-02;2,70261E-02;3,56113E-02;2,20306E-02;1,04348E-02;1,25386E-02;1,65647E-02
987;4,24830E-02;2,28303E-02;2,74210E-02;3,73898E-02;2,22174E-02;1,03117E-02;1,24212E-02;1,70116E-02
988;4,18903E-02;2,29525E-02;2,76997E-02;3,65060E-02;2,31821E-02;1,04654E-02;1,28815E-02;1,68601E-02
989;4,21480E-02;2,35252E-02;2,79016E-02;3,54155E-02;2,25588E-02;1,06472E-02;1,25063E-02;1,70803E-02
990;4,29495E-02;2,27894E-02;2,74838E-02;3,66299E-02;2,21624E-02;1,05555E-02;1,29602E-02;1,74708E-02
991;4,35770E-02;2,33169E-02;2,79644E-02;3,76480E-02;2,27931E-02;1,06837E-02;1,31424E-02;1,71688E-02
992;4,36243E-02;2,33765E-02;2,77922E-02;3,65317E-02;2,33648E-02;1,05638E-02;1,27880E-02;1,74948E-02
993;4,25967E-02;2,30323E-02;2,75042E-02;3,64130E-02;2,34693E-02;1,04665E-02;1,25070E-02;1,73555E-02
994;4,09259E-02;2,23533E-02;2,74451E-02;3,51759E-02;2,16788E-02;1,07355E-02;1,26776E-02;1,77424E-02
995;4,27286E-02;2,27741E-02;2,79155E-02;3,72822E-02;2,33481E-02;1,05361E-02;1,23799E-02;1,68585E-02
996;4,05360E-02;2,26017E-02;2,71077E-02;3,62798E-02;2,19513E-02;1,01869E-02;1,20571E-02;1,64620E-02
997;4,10158E-02;2,18599E-02;2,63186E-02;3,54292E-02;2,30008E-02;1,01810E-02;1,22733E-02;1,66680E-02
998;4,01460E-02;2,19799E-02;2,67308E-02;3,51983E-02;2,23689E-02;9,97178E-03;1,16659E-02;1,59264E-02
999;3,94773E-02;2,10420E-02;2,61132E-02;3,46140E-02;2,18792E-02;9,91478E-03;1,15808E-02;1,57043E-02
1000;3,82389E-02;2,03080E-02;2,55822E-02;3,50111E-02;2,11013E-02;9,62836E-03;1,15361E-02;1,53039E-02
